CustomerID;FirstName;MiddleName;LastName;AddressLine1;City;StateProvinceName;CountryRegionName;PostalCode;PhoneNumber;BirthDate;Education;Occupation;Gender;MaritalStatus;HomeOwnerFlag;NumberCarsOwned;NumberChildrenAtHome;TotalChildren;YearlyIncome;LastUpdated;BikeBuyer;AvgMonthSpend;BikeBuyerText
21173;Chad;C;Yuan;7090 C. Mount Hood;Wollongong;New South Wales;Australia;2500;1 (11) 500 555-0115;13/11/87;Bachelors;Clerical;M;M;1;3;0;1;81916;6/03/17;1;50.97;YES
13249;Ryan;NULL;Perry;3651 Willow Lake Rd;Shawnee;British Columbia;Canada;V9B 2C3;787-555-0136;21/07/72;Partial College;Clerical;M;M;1;2;1;2;81076;6/03/17;1;53.11;YES
29350;Julia;NULL;Thompson;1774 Tice Valley Blvd.;West Covina;California;United States;91791;120-555-0111;9/11/85;Bachelors;Clerical;F;S;0;3;0;0;86387;6/03/17;1;54.08;YES
13503;Theodore;NULL;Gomez;2103 Baldwin Dr;Liverpool;England;United Kingdom;L4 4HB;1 (11) 500 555-0167;18/10/77;Partial College;Skilled Manual;M;M;1;2;1;2;61481;6/03/17;1;56.93;YES
22803;Marshall;J;Shan;Am Gallberg 234;Werne;Nordrhein-Westfalen;Germany;59368;1 (11) 500 555-0113;5/02/75;Partial College;Skilled Manual;M;S;1;1;0;0;51804;6/03/17;1;55.41;YES
22092;Andrea;NULL;Young;9384 Ashmount Way;Tacoma;Washington;United States;98403;639-555-0165;23/02/75;High School;Skilled Manual;F;M;1;2;2;2;61944;6/03/17;1;49.31;YES
11229;Adrian;C;Stewart;6898 Shaw Rd.;Redwood City;California;United States;94063;812-555-0122;3/12/71;Partial College;Manual;M;S;1;1;0;0;34919;6/03/17;0;56.01;NO
24179;Robyn;R;Blanco;6270 Pinecreek Way;Lavender Bay;New South Wales;Australia;2060;1 (11) 500 555-0113;7/03/97;Partial College;Skilled Manual;F;M;0;1;0;0;61832;6/03/17;1;49.29;YES
12127;Grace;NULL;Davis;8188, rue Lamarck;Dunkerque;Nord;France;59140;1 (11) 500 555-0178;14/12/76;Partial College;Clerical;F;M;1;0;0;2;83834;6/03/17;1;50.05;YES
19903;Marcus;N;Nelson;5, rue des Bouchers;Metz;Moselle;France;57000;1 (11) 500 555-0181;4/12/76;High School;Manual;M;S;0;1;0;0;26880;6/03/17;0;54.15;NO
25924;Hannah;NULL;Robinson;536 Beech Ct.;Redwood City;California;United States;94063;609-555-0161;20/11/98;Partial College;Clerical;F;S;0;1;0;0;77258;6/03/17;0;54.02;NO
23033;Alex;J;Turner;9973 Mcnutt Ave;Lakewood;California;United States;90712;668-555-0160;21/04/81;Bachelors;Management;M;M;1;3;0;0;102698;6/03/17;0;58.29;NO
20029;Jan;M;Evans;7787 Olive St.;Los Angeles;California;United States;90012;163-555-0164;24/10/84;Bachelors;Management;F;M;1;1;1;2;108198;6/03/17;1;52.66;YES
22031;Jorge;NULL;Cai;7952 Quartermaster;Wollongong;New South Wales;Australia;2500;1 (11) 500 555-0191;12/08/60;Bachelors;Professional;M;M;1;2;0;2;133762;6/03/17;0;52.5;NO
23770;Jamie;NULL;Carlson;8191 Scenic Ct.;Maidenhead;England;United Kingdom;SL67RJ;1 (11) 500 555-0165;12/05/91;Partial High School;Manual;M;S;0;1;0;0;30526;7/03/17;0;49.61;NO
23737;Elena;NULL;Velez Amezaga;9613 Camino Royale;Beverly Hills;California;United States;90210;545-555-0171;14/03/71;Partial College;Skilled Manual;F;M;1;2;0;2;56353;6/03/17;1;49.04;YES
17127;Makayla;A;Gray;9442 Lacanda;Puyallup;Washington;United States;98371;133-555-0124;2/06/65;High School;Clerical;F;S;1;3;1;1;79019;6/03/17;1;50.48;YES
28130;Joshua;M;Taylor;1145 Paraiso Ct.;Langley;British Columbia;Canada;V3A 4R2;926-555-0140;2/02/93;Partial College;Skilled Manual;M;S;0;2;0;0;55387;6/03/17;1;51;YES
28455;Raymond;E;Sara;Zollstr 68;Darmstadt;Hessen;Germany;64283;1 (11) 500 555-0165;6/06/81;Bachelors;Management;M;M;1;2;0;2;113276;6/03/17;0;58.69;NO
20161;Albert;G;Sanz;87, rue de la Comédie;Orly;Val de Marne;France;94310;1 (11) 500 555-0118;20/06/63;Partial College;Management;M;S;1;1;0;1;109259;6/03/17;0;52.3;NO
21325;Angela;NULL;Hayes;8273 Glacier Drive;El Cajon;California;United States;92020;848-555-0112;10/07/80;High School;Clerical;F;M;1;0;0;2;83845;6/03/17;0;50.38;NO
12128;Kristy;E;Munoz;Altendorfer Straße 903;Berlin;Hessen;Germany;12171;1 (11) 500 555-0146;16/12/76;High School;Skilled Manual;F;M;1;0;2;2;59527;6/03/17;1;53.22;YES
23679;Jacob;G;Harris;7987 Seawind Dr.;Oak Bay;British Columbia;Canada;V8P;518-555-0167;5/11/61;Bachelors;Management;M;S;1;1;0;1;108360;6/03/17;0;51.88;NO
26799;Ryan;G;Russell;1104 O St.;Coronado;California;United States;92118;696-555-0187;19/09/96;Partial College;Clerical;M;M;0;1;0;0;87504;6/03/17;0;49.72;NO
15726;Faith;F;Barnes;6176 Crow Street;Hervey Bay;Queensland;Australia;4655;1 (11) 500 555-0195;27/02/93;Bachelors;Skilled Manual;F;M;0;0;0;0;55461;6/03/17;1;48.76;YES
15473;Abigail;NULL;Jenkins;4838 Second Street;Coronado;California;United States;92118;135-555-0132;15/04/89;Bachelors;Professional;F;S;1;2;0;0;137464;6/03/17;1;52.03;YES
28685;Marshall;J;Zhu;24, boulevard Tremblay;Drancy;Seine Saint Denis;France;93700;1 (11) 500 555-0189;16/03/90;High School;Clerical;M;M;1;2;0;1;87676;6/03/17;1;49.89;YES
12302;Kevin;NULL;Coleman;Reiherweg 5;Frankfurt;Hessen;Germany;60323;1 (11) 500 555-0167;2/03/66;Bachelors;Management;M;M;1;3;0;2;104187;6/03/17;1;51.15;YES
23523;Steve;V;Liu;8358 Azalea Avenue;Findon;South Australia;Australia;5023;1 (11) 500 555-0135;19/08/83;Bachelors;Clerical;M;S;0;1;0;0;78222;6/03/17;1;53.53;YES
18713;Rosa;NULL;Yang;5673 Arlington Circle;Newcastle;New South Wales;Australia;2300;1 (11) 500 555-0178;15/11/86;Graduate Degree;Clerical;F;M;1;2;0;1;77383;6/03/17;0;50.59;NO
